student_id,student_name,date_of_birth,age_as_of_aug2021,gender,grade_level,school_type,center_id,region,digital_access,enrollment_date,guardian_contact_available,program_type,program_status,total_sessions,sessions_attended_weighted,attendance_rate,absent_count,late_count,first_session_date,homework_completion_rate,guardian_signature_rate,baseline_score,midline_score,final_score,score_improvement,average_exam_score,average_homework_completion_pct,parent_comm_count,teacher_to_parent_count,automated_reminder_count,monthly_cost_per_student_inr,capacity_utilization,engagement_score,engagement_level,dropout_flag,risk_category,improved_student_flag,cost_per_improved_student_inr
S00129,Anthony White,2017-01-30,4.5,Female,Grade 2,Government,BLR-C04,Hebbal,Limited,2021-08-13,Yes,Mentorship,Irregular,18,8.2,0.458,6,3,2021-08-08,0.0,0.5,49.3,57.1,61.0,11.7,61.0,96.66666666666667,2,1,1,1533,0.848,30.6,Low,0,Medium Risk,1,1981.0
S00135,Traci Johnson,2007-07-28,14.0,Male,Grade 1,Government,BLR-C05,KR Puram,No Access,2021-08-12,Yes,Hybrid Learning Support,Dropped,15,4.5,0.3,6,2,2021-09-16,0.667,0.333,74.5,80.3,86.0,11.5,86.0,86.66666666666667,3,0,2,2309,0.703,43.5,Medium,1,High Risk,1,3196.0
S00140,Joshua Smith,2007-06-01,14.2,Female,Grade 3,Aided,BLR-C01,Whitefield,Limited,2021-08-10,Yes,After-School Tutoring,Irregular,18,10.5,0.583,3,6,2021-08-03,0.5,0.0,46.7,53.5,56.7,10.0,56.666666666666664,56.666666666666664,2,1,1,1885,0.833,43.7,Medium,0,Medium Risk,1,2792.0
S00141,Mary Mccullough Dds,2006-06-19,15.1,Female,Grade 5,Government,BLR-C05,KR Puram,Limited,2021-08-01,Yes,After-School Tutoring,Irregular,18,9.8,0.542,4,5,2021-08-04,0.8,0.4,49.4,54.2,53.0,3.6,53.0,56.666666666666664,1,0,0,2309,0.703,60.4,Medium,0,Medium Risk,0,3196.0
S00143,Cynthia Macdonald,2008-06-12,13.1,Female,Grade 3,Government,BLR-C05,KR Puram,Limited,2021-09-01,Yes,Mentorship,Irregular,21,8.2,0.393,6,5,2021-08-02,0.667,0.333,37.8,40.9,44.5,6.7,44.5,42.5,2,1,0,2309,0.703,47.7,Medium,1,High Risk,1,3196.0
S00155,Sean Baker,2006-06-04,15.2,Female,Grade 3,Aided,BLR-C06,Electronic City,No Access,2021-08-30,Yes,Mentorship,Irregular,17,8.5,0.5,4,2,2021-08-03,1.0,0.5,68.2,74.0,75.8,7.6,75.75,85.0,3,2,1,2259,0.929,67.5,Medium,0,Medium Risk,1,2842.0
S00175,Cynthia Torres Md,2007-03-31,14.3,Male,Grade 4,Government,BLR-C03,Yelahanka,Limited,2021-08-08,Yes,Mentorship,Irregular,21,11.0,0.524,4,4,2021-08-01,1.0,0.0,63.6,68.6,64.5,0.9,64.5,90.0,1,0,1,2076,0.937,58.6,Medium,0,Medium Risk,0,2678.0
S00304,Scott Fleming,2013-04-14,8.3,Female,Grade 1,Private Low-Cost,BLR-C06,Electronic City,Limited,2021-08-21,Yes,Mentorship,Irregular,9,3.2,0.361,2,3,2021-08-01,0.0,0.0,55.6,65.0,69.3,13.7,69.33333333333333,28.333333333333332,2,0,1,2259,0.929,16.2,Low,1,High Risk,1,2842.0
S00313,Angela Davis,2012-04-27,9.3,Female,Grade 2,Government,BLR-C04,Hebbal,Good,2021-08-22,Yes,Hybrid Learning Support,Irregular,15,6.8,0.45,5,3,2021-08-20,0.0,0.5,75.4,76.1,78.0,2.6,78.0,93.33333333333333,2,1,0,1533,0.848,30.2,Low,0,Medium Risk,0,1981.0
S00318,Matthew Bass,2006-09-26,14.8,Female,Grade 5,Government,BLR-C04,Hebbal,No Access,2021-08-18,Yes,Digital Learning Support,Irregular,13,5.2,0.404,4,3,2021-08-03,0.667,0.333,49.1,53.2,54.0,4.9,54.0,95.0,6,2,2,1533,0.848,48.2,Medium,0,Medium Risk,0,1981.0
S00351,Charlene Henry,,,Female,Grade 3,Government,BLR-C03,Yelahanka,Good,2021-08-02,Yes,After-School Tutoring,Completed,16,10.5,0.656,2,6,2021-09-15,0.333,0.0,74.1,72.9,75.0,0.9,75.0,90.0,3,0,1,2076,0.937,41.2,Medium,0,Medium Risk,0,2678.0
S00367,Sean Miller,2014-01-30,7.5,Female,Grade 1,Private Low-Cost,BLR-C06,Electronic City,Limited,2021-09-13,Yes,Digital Learning Support,Irregular,17,10.0,0.588,4,4,2021-08-01,0.125,0.375,62.3,64.6,69.5,7.2,69.5,60.0,4,2,2,2259,0.929,38.3,Low,0,Medium Risk,1,2842.0
S00369,Haley Fox,,,Male,Grade 2,Aided,BLR-C04,Hebbal,Limited,2021-08-09,Yes,Hybrid Learning Support,Irregular,16,6.5,0.406,5,2,2021-08-01,1.0,0.5,62.5,70.0,69.5,7.0,69.5,67.5,3,2,1,1533,0.848,63.3,Medium,0,Medium Risk,1,1981.0
S00377,Christina King,2014-01-24,7.5,Male,Grade 1,Private Low-Cost,BLR-C06,Electronic City,Limited,2021-08-03,Yes,Hybrid Learning Support,Irregular,12,6.8,0.562,1,5,2021-08-08,0.5,0.0,62.1,69.9,74.0,11.9,74.0,90.625,3,2,0,2259,0.929,42.8,Medium,0,Medium Risk,1,2842.0
S00387,Christopher Neal,2008-09-18,12.9,Male,Grade 1,Government,BLR-C03,Yelahanka,Limited,2021-08-26,Yes,Mentorship,Dropped,12,3.5,0.292,5,2,2021-08-03,0.833,0.167,80.8,87.0,85.0,4.2,85.0,93.33333333333333,1,0,1,2076,0.937,45.6,Medium,1,High Risk,0,2678.0
S00399,Jennifer Johnson,2012-05-27,9.2,Male,Grade 1,Government,BLR-C01,Whitefield,Good,2021-08-21,Yes,After-School Tutoring,Irregular,24,11.0,0.458,8,4,2021-08-03,0.0,0.0,73.3,77.0,77.0,3.7,77.0,93.75,2,1,0,1885,0.833,20.6,Low,0,Medium Risk,0,2792.0
S00412,Jean Baker,2017-10-13,3.8,Male,Grade 5,Government,BLR-C05,KR Puram,Limited,2021-08-30,Yes,Hybrid Learning Support,Irregular,16,7.0,0.438,5,2,2021-08-03,0.667,0.333,53.7,57.8,62.0,8.3,62.0,85.0,2,2,0,2309,0.703,49.7,Medium,0,Medium Risk,1,3196.0
S00427,William Brooks,2006-03-21,15.4,Male,Grade 3,Government,BLR-C05,KR Puram,Limited,2021-08-28,Yes,Digital Learning Support,Completed,21,13.8,0.655,3,7,2021-08-25,0.0,0.333,53.3,54.2,53.0,-0.3,53.0,70.0,1,0,0,2309,0.703,36.1,Low,0,High Risk,0,3196.0
S00436,Stephanie Sexton,2012-02-05,9.5,Female,Grade 5,Aided,BLR-C06,Electronic City,No Access,2021-09-05,Yes,Mentorship,Dropped,14,4.5,0.321,5,2,2021-08-07,1.0,0.0,41.2,49.4,54.5,13.3,54.5,97.5,6,2,1,2259,0.929,49.4,Medium,1,High Risk,1,2842.0
S00465,Henry Long,2015-08-02,6.0,Female,Grade 5,Aided,BLR-C04,Hebbal,Good,2021-08-26,Yes,After-School Tutoring,Dropped,19,5.0,0.263,5,6,2021-08-09,0.6,0.4,81.3,88.1,84.0,2.7,84.0,83.33333333333333,4,0,2,1533,0.848,40.8,Medium,1,High Risk,0,1981.0
S00503,Larry Palmer,,,Female,Grade 1,Government,BLR-C06,Electronic City,No Access,2021-09-03,Yes,Digital Learning Support,Irregular,12,7.0,0.583,2,4,2021-08-05,0.5,0.333,58.1,68.1,73.3,15.2,73.33333333333333,44.166666666666664,1,0,1,2259,0.929,50.4,Medium,0,Medium Risk,1,2842.0
S00534,George Aguirre,2009-07-06,12.1,Male,Grade 5,Private Low-Cost,BLR-C06,Electronic City,Limited,2021-08-08,Yes,After-School Tutoring,Irregular,8,4.0,0.5,2,2,2021-08-12,1.0,0.0,79.7,81.6,84.5,4.8,84.5,95.0,2,0,1,2259,0.929,57.5,Medium,0,Medium Risk,0,2842.0
S00547,Mary Gibbs,2013-03-04,8.4,Male,Grade 1,Government,BLR-C02,Jayanagar,No Access,2021-08-10,Yes,After-School Tutoring,Dropped,13,4.5,0.346,3,4,2021-08-09,0.333,0.167,53.7,55.5,56.0,2.3,56.0,88.33333333333333,2,1,1,1880,0.637,30.6,Low,1,High Risk,0,2395.0
S00590,Michael Craig,2010-05-28,11.2,Male,Grade 4,Private Low-Cost,BLR-C05,KR Puram,Limited,2021-09-12,Yes,After-School Tutoring,Irregular,15,6.8,0.45,6,3,2021-08-14,0.6,0.4,60.3,67.4,70.7,10.4,70.66666666666667,83.33333333333333,2,0,1,2309,0.703,49.2,Medium,0,Medium Risk,1,3196.0
S00596,Robert Evans,2011-08-28,9.9,Female,Grade 4,Government,BLR-C03,Yelahanka,Limited,2021-08-14,No,Mentorship,Irregular,12,6.2,0.521,4,3,2021-08-11,0.2,0.2,86.9,90.8,97.0,10.1,97.0,-5.0,3,2,1,2076,0.937,34.4,Low,0,Medium Risk,1,2678.0
S00614,Elaine Cardenas,2010-10-24,10.8,Male,Grade 2,Government,BLR-C06,Electronic City,No Access,2021-09-09,Yes,Mentorship,Irregular,17,9.2,0.544,4,7,2021-08-02,1.0,0.333,86.5,92.5,96.7,10.2,96.66666666666667,91.66666666666667,2,0,1,2259,0.929,66.1,Medium,0,Medium Risk,1,2842.0
S00626,Johnny White,,,Female,Grade 1,Government,BLR-C02,Jayanagar,No Access,2021-08-15,Yes,After-School Tutoring,Irregular,15,7.8,0.517,2,5,2021-08-17,0.8,0.0,67.1,71.9,75.5,8.4,75.5,45.0,3,0,2,1880,0.637,51.3,Medium,0,Medium Risk,1,2395.0
S00635,Tracy Gonzalez,2012-01-11,9.6,Female,Grade 1,Government,BLR-C02,Jayanagar,Limited,2021-08-17,Yes,After-School Tutoring,Irregular,10,4.5,0.45,3,2,2021-08-10,0.333,0.333,56.7,67.2,73.7,17.0,73.66666666666667,86.66666666666667,1,0,1,1880,0.637,38.6,Low,0,Medium Risk,1,2395.0
S00654,Jackson Nguyen,2015-09-13,5.9,Female,Grade 5,Aided,BLR-C05,KR Puram,Good,2021-08-18,Yes,After-School Tutoring,Irregular,14,6.8,0.482,6,3,2021-08-13,0.5,0.5,97.4,99.5,100.0,2.6,100.0,85.0,2,2,0,2309,0.703,49.2,Medium,0,Medium Risk,0,3196.0
S00667,Andrew Hernandez,2014-12-30,6.6,Female,Grade 1,Government,BLR-C05,KR Puram,Limited,2021-09-01,Yes,After-School Tutoring,Completed,14,10.0,0.714,2,4,2021-08-04,0.75,0.0,56.4,61.3,69.8,13.4,69.8,88.0,1,0,0,2309,0.703,58.4,Medium,0,Low Risk,1,3196.0
S00695,Brian Phillips,2010-05-17,11.2,Male,Grade 5,Government,BLR-C05,KR Puram,Limited,2021-09-07,Yes,Mentorship,Irregular,19,9.2,0.487,5,5,2021-08-02,0.444,0.333,54.4,56.1,56.0,1.6,56.0,80.0,1,0,1,2309,0.703,44.1,Medium,0,Medium Risk,0,3196.0
S00704,Cheyenne Ortiz,2009-01-10,12.6,Female,Grade 2,Aided,BLR-C03,Yelahanka,Good,2021-08-23,Yes,After-School Tutoring,Irregular,17,10.2,0.603,5,5,2021-08-01,0.4,0.4,82.6,92.5,97.2,14.6,97.25,71.25,1,0,1,2076,0.937,49.1,Medium,0,Medium Risk,1,2678.0
S00720,Thomas Figueroa,2011-04-27,10.3,Female,Grade 1,Aided,BLR-C02,Jayanagar,Good,2021-09-15,Yes,After-School Tutoring,Irregular,16,5.8,0.359,2,1,2021-08-12,0.333,0.333,67.6,76.2,77.0,9.4,77.0,98.33333333333333,1,0,1,1880,0.637,34.5,Low,1,High Risk,1,2395.0
S00756,Emily Oliver,2012-06-17,9.1,Male,Grade 2,Private Low-Cost,BLR-C04,Hebbal,No Access,2021-08-23,Yes,Mentorship,Irregular,15,8.8,0.583,2,7,2021-08-10,0.0,1.0,42.3,52.3,56.5,14.2,56.5,97.5,3,0,1,1533,0.848,46.2,Medium,0,Medium Risk,1,1981.0
S00760,Steven Oliver,2018-01-24,3.5,Male,Grade 2,Government,BLR-C03,Yelahanka,Good,2021-09-04,Yes,After-School Tutoring,Completed,19,15.2,0.803,0,5,2021-08-11,0.333,0.5,83.4,87.0,95.0,11.6,95.0,93.33333333333333,2,2,0,2076,0.937,57.8,Medium,0,Low Risk,1,2678.0
S00796,Terry Carrillo,2012-02-19,9.4,Male,Grade 5,Aided,BLR-C01,Whitefield,Limited,2021-09-08,Yes,After-School Tutoring,Completed,17,12.5,0.735,2,10,2021-08-06,0.6,0.2,91.7,89.7,91.0,-0.7,91.0,90.0,1,1,0,1885,0.833,58.1,Medium,0,High Risk,0,2792.0
S00816,Adam Bishop,2010-10-27,10.8,Female,Grade 2,Aided,BLR-C06,Electronic City,Good,2021-08-15,Yes,Hybrid Learning Support,Dropped,8,2.2,0.281,3,1,2021-08-03,,,85.9,88.1,92.5,6.6,92.5,87.5,4,0,3,2259,0.929,12.6,Low,1,High Risk,1,2842.0
S00888,Nancy Kaufman,2010-10-15,10.8,Male,Grade 2,Government,BLR-C05,KR Puram,Good,2021-08-24,Yes,Mentorship,Dropped,9,2.5,0.278,4,2,2021-08-26,0.0,0.4,77.0,82.5,80.0,3.0,80.0,90.0,2,1,1,2309,0.703,20.5,Low,1,High Risk,0,3196.0
S00924,Kenneth Lambert,2017-10-18,3.8,Male,Grade 5,Government,BLR-C02,Jayanagar,Good,2021-08-28,Yes,Hybrid Learning Support,Irregular,13,6.0,0.462,5,2,2021-08-01,0.625,0.125,64.7,73.7,78.7,14.0,78.66666666666667,58.333333333333336,2,1,0,1880,0.637,45.2,Medium,0,Medium Risk,1,2395.0
S00927,Judith Kennedy,2011-01-17,10.5,Female,Grade 2,Government,BLR-C06,Electronic City,Good,2021-08-16,Yes,Mentorship,Irregular,15,7.0,0.467,4,4,2021-08-01,0.571,0.571,76.0,87.9,87.2,11.2,87.25,67.5,1,1,0,2259,0.929,52.4,Medium,0,Medium Risk,1,2842.0
S00928,Clinton Peters,,,Male,Grade 5,Government,BLR-C03,Yelahanka,Limited,2021-08-16,Yes,Hybrid Learning Support,Completed,19,11.8,0.618,3,5,2021-08-06,1.0,0.0,65.1,73.0,73.7,8.6,73.66666666666667,61.666666666666664,3,0,0,2076,0.937,62.8,Medium,0,Medium Risk,1,2678.0
S00946,Jean Campbell,2006-03-18,15.4,Female,Grade 4,Government,BLR-C01,Whitefield,No Access,2021-09-09,Yes,After-School Tutoring,Irregular,12,6.2,0.521,1,5,2021-08-09,0.5,0.25,59.6,64.0,66.0,6.4,66.0,58.333333333333336,2,0,0,1885,0.833,45.9,Medium,0,Medium Risk,1,2792.0
S00960,Ian Mack,2014-04-22,7.3,Female,Grade 1,Government,BLR-C03,Yelahanka,Good,2021-09-08,Yes,Digital Learning Support,Completed,18,11.5,0.639,4,6,2021-08-03,0.4,0.6,52.7,57.6,62.4,9.7,62.4,72.0,3,0,1,2076,0.937,54.8,Medium,0,Medium Risk,1,2678.0
S00963,Jason Novak,2012-09-24,8.9,Male,Grade 5,Aided,BLR-C03,Yelahanka,Limited,2021-08-06,Yes,Mentorship,Dropped,14,4.5,0.321,5,4,2021-08-04,0.643,0.286,37.8,41.6,42.0,4.2,42.0,92.5,2,0,2,2076,0.937,42.7,Medium,1,High Risk,0,2678.0
S00968,Kyle Palmer,,,Male,Grade 4,Aided,BLR-C04,Hebbal,Limited,2021-08-02,Yes,Hybrid Learning Support,Irregular,19,8.2,0.434,2,7,2021-08-13,0.833,0.333,76.9,84.1,86.0,9.1,86.0,70.83333333333333,1,1,0,1533,0.848,55.3,Medium,0,Medium Risk,1,1981.0
S01034,Dustin Hancock Dds,2007-10-07,13.8,Female,Grade 2,Private Low-Cost,BLR-C06,Electronic City,No Access,2021-08-13,Yes,Mentorship,Completed,10,8.2,0.825,1,1,2021-08-06,0.0,0.0,75.8,83.0,83.3,7.5,83.33333333333333,23.333333333333332,2,2,0,2259,0.929,37.1,Low,0,Low Risk,1,2842.0
S01040,Wendy Pierce,2017-11-26,3.7,Male,Grade 4,Aided,BLR-C04,Hebbal,Limited,2021-09-13,Yes,Hybrid Learning Support,Irregular,13,7.8,0.596,3,3,2021-08-07,0.667,0.333,78.9,81.7,83.7,4.8,83.66666666666667,61.666666666666664,3,2,1,1533,0.848,56.8,Medium,0,Medium Risk,0,1981.0
S01060,Kaitlyn Holmes,2017-05-04,4.2,Male,Grade 3,Government,BLR-C03,Yelahanka,Limited,2021-08-09,Yes,Mentorship,Irregular,16,5.8,0.359,4,3,2021-08-02,0.333,0.5,64.7,75.5,75.5,10.8,75.5,68.75,2,1,1,2076,0.937,37.8,Low,1,High Risk,1,2678.0
S01116,Rebecca Garcia,2011-07-23,10.0,Male,Grade 5,Private Low-Cost,BLR-C01,Whitefield,Limited,2021-09-03,Yes,Digital Learning Support,Dropped,11,3.8,0.341,4,1,2021-08-14,0.625,0.125,46.1,54.8,61.7,15.6,61.666666666666664,93.33333333333333,2,2,0,1885,0.833,39.7,Low,1,High Risk,1,2792.0
S01131,Melinda Price,2017-06-28,4.1,Female,Grade 1,Private Low-Cost,BLR-C02,Jayanagar,No Access,2021-08-17,Yes,Hybrid Learning Support,Dropped,12,2.8,0.229,4,1,2021-08-24,0.5,0.25,64.7,69.2,67.0,2.3,67.0,100.0,3,2,1,1880,0.637,32.8,Low,1,High Risk,0,2395.0
S01165,Samuel Jones,2011-07-22,10.0,Male,Grade 5,Government,BLR-C02,Jayanagar,Good,2021-08-27,Yes,Hybrid Learning Support,Irregular,21,11.5,0.548,6,4,2021-08-06,0.714,0.143,44.2,51.8,56.0,11.8,56.0,-5.0,2,1,0,1880,0.637,52.5,Medium,0,Medium Risk,1,2395.0
S01179,Bobby Rivas,2009-09-25,11.8,Female,Grade 5,Aided,BLR-C06,Electronic City,Limited,2021-08-29,Yes,Digital Learning Support,Dropped,11,3.8,0.341,1,3,2021-08-07,0.429,0.429,83.5,86.2,88.2,4.7,88.25,62.5,1,0,0,2259,0.929,38.9,Low,1,High Risk,0,2842.0
S01180,Curtis Hill,,,Male,Grade 1,Private Low-Cost,BLR-C05,KR Puram,No Access,2021-09-06,Yes,After-School Tutoring,Irregular,18,9.5,0.528,4,6,2021-08-24,0.25,0.25,79.8,82.1,90.2,10.4,90.16666666666667,85.83333333333333,1,0,1,2309,0.703,37.5,Low,0,Medium Risk,1,3196.0
S01286,Patrick Mitchell,2014-04-25,7.3,Female,Grade 5,Government,BLR-C05,KR Puram,Limited,2021-09-12,Yes,After-School Tutoring,Irregular,12,7.2,0.604,2,5,2021-08-02,0.0,0.0,78.5,79.8,84.0,5.5,84.0,87.5,3,0,1,2309,0.703,27.2,Low,0,Medium Risk,1,3196.0
S01302,Ashley Jackson,2007-04-20,14.3,Female,Grade 4,Private Low-Cost,BLR-C02,Jayanagar,Limited,2021-08-22,Yes,After-School Tutoring,Irregular,17,9.2,0.544,5,5,2021-08-15,0.75,0.5,69.2,76.0,76.0,6.8,76.0,93.75,5,2,2,1880,0.637,60.7,Medium,0,Medium Risk,1,2395.0
S01308,Patricia Coffey,2016-10-05,4.8,Male,Grade 2,Government,BLR-C03,Yelahanka,Limited,2021-08-24,Yes,After-School Tutoring,Irregular,18,7.0,0.389,7,6,2021-08-05,,,62.8,68.9,70.0,7.2,70.0,90.0,2,1,0,2076,0.937,17.5,Low,1,High Risk,1,2678.0
S01318,Michael Johnson,2006-08-02,15.0,Female,Grade 5,Government,BLR-C03,Yelahanka,Good,2021-08-07,Yes,After-School Tutoring,Dropped,18,1.8,0.097,11,1,2021-08-09,1.0,0.333,64.2,73.1,77.6,13.4,77.6,87.0,3,2,1,2076,0.937,46.0,Medium,1,High Risk,1,2678.0
S01350,Timothy Rice,2012-01-15,9.5,Female,Grade 1,Government,BLR-C04,Hebbal,Limited,2021-09-03,No,Digital Learning Support,Irregular,19,10.2,0.539,4,5,2021-08-02,0.571,0.429,73.0,80.9,80.6,7.6,80.6,73.0,1,0,1,1533,0.848,52.8,Medium,0,Medium Risk,1,1981.0
S01353,George Edwards,2006-08-06,15.0,Female,Grade 4,Aided,BLR-C06,Electronic City,Limited,2021-08-12,No,Hybrid Learning Support,Irregular,16,9.0,0.562,5,4,2021-08-20,0.0,0.0,71.4,73.7,78.0,6.6,78.0,23.333333333333332,4,1,1,2259,0.929,25.3,Low,0,Medium Risk,1,2842.0
S01395,Ronald Craig,2017-12-04,3.7,Male,Grade 4,Private Low-Cost,BLR-C04,Hebbal,Limited,2021-08-23,Yes,After-School Tutoring,Irregular,12,6.2,0.521,3,1,2021-08-10,0.778,0.556,45.0,48.9,52.7,7.7,52.666666666666664,95.0,5,3,2,1533,0.848,61.8,Medium,0,Medium Risk,1,1981.0
S01408,Yolanda Parks,2006-07-06,15.1,Female,Grade 2,Private Low-Cost,BLR-C05,KR Puram,Limited,2021-08-15,Yes,Mentorship,Irregular,15,7.0,0.467,2,2,2021-08-23,0.333,0.333,56.9,64.9,72.5,15.6,72.5,85.0,1,1,0,2309,0.703,39.3,Low,0,Medium Risk,1,3196.0
S01410,Donna Payne,2007-10-16,13.8,Male,Grade 3,Government,BLR-C02,Jayanagar,No Access,2021-09-02,Yes,Mentorship,Irregular,9,4.0,0.444,2,0,2021-09-04,0.667,0.333,87.8,91.2,98.0,10.2,98.0,95.0,1,0,1,1880,0.637,50.0,Medium,0,Medium Risk,1,2395.0
S01446,Derek Rodriguez,2013-05-12,8.2,Female,Grade 1,Government,BLR-C03,Yelahanka,Good,2021-08-13,Yes,Hybrid Learning Support,Irregular,14,5.5,0.393,2,2,2021-08-11,0.25,0.25,65.4,67.6,71.0,5.6,71.0,56.666666666666664,2,0,1,2076,0.937,31.4,Low,1,High Risk,1,2678.0
S01476,Stuart Bartlett,2014-05-27,7.2,Female,Grade 2,Private Low-Cost,BLR-C02,Jayanagar,Limited,2021-08-23,Yes,After-School Tutoring,Irregular,12,7.0,0.583,2,4,2021-08-06,0.0,0.333,62.8,68.7,76.8,14.0,76.8,29.0,4,0,3,1880,0.637,32.9,Low,0,Medium Risk,1,2395.0
S01486,David Walters,2010-11-05,10.7,Female,Grade 2,Aided,BLR-C01,Whitefield,Limited,2021-09-07,Yes,Mentorship,Irregular,15,7.8,0.517,4,7,2021-08-07,0.0,0.333,69.8,72.0,78.5,8.7,78.5,97.5,4,1,3,1885,0.833,29.9,Low,0,Medium Risk,1,2792.0
S01525,David Webb,2015-01-20,6.5,Female,Grade 1,Government,BLR-C02,Jayanagar,Limited,2021-09-01,Yes,Hybrid Learning Support,Irregular,13,4.8,0.365,6,3,2021-08-25,0.667,0.667,81.5,83.0,86.0,4.5,86.0,93.33333333333333,2,0,1,1880,0.637,53.1,Medium,1,High Risk,0,2395.0
S01526,Alexander Stewart,2019-02-20,2.4,Female,Grade 3,Government,BLR-C01,Whitefield,Good,2021-09-14,Yes,After-School Tutoring,Completed,12,8.0,0.667,1,4,2021-08-01,0.667,0.0,83.9,89.6,93.5,9.6,93.5,91.25,1,0,0,1885,0.833,53.4,Medium,0,Medium Risk,1,2792.0
S01534,Kimberly Vega,2006-08-06,15.0,Female,Grade 5,Aided,BLR-C04,Hebbal,Limited,2021-09-04,Yes,Digital Learning Support,Irregular,10,5.8,0.575,3,3,2021-08-24,0.5,0.333,74.1,82.4,81.5,7.4,81.5,97.5,2,0,1,1533,0.848,50.0,Medium,0,Medium Risk,1,1981.0
S01552,Robin Golden,,,Male,Grade 3,Aided,BLR-C04,Hebbal,No Access,2021-08-01,Yes,Hybrid Learning Support,Irregular,12,6.8,0.562,1,3,2021-08-11,0.6,0.4,89.0,85.2,83.5,-5.5,83.5,37.5,3,0,2,1533,0.848,54.3,Medium,0,High Risk,0,1981.0
